content_id,ctr,gsc_impressions,score,action,reason_code
content_963de14b1f58978f,0.0036204469828252503,245826,0.9963795530171746,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.0035039394000769652,49373,0.20014156354494642,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.0023287643249647622,48953,0.19867304516202516,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.00385793018983466,48990,0.1985184642796124,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_963de14b1f58978f,0.0017524881003894417,46220,0.1876896666748025,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_f88878f155e4838d,0.007169317934190456,45890,0.18533841009494517,Review for general optimization potential,
content_545bb6cc7081ded3,0.002519188209257428,42474,0.1723454801363566,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.0031424325838591022,41051,0.16646733868671335,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_f88878f155e4838d,0.008802024746906636,35560,0.1433819042737546,Review for general optimization potential,
content_0ec99ef7d7e11565,0.0016315875346712351,30645,0.12445794993206577,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.004628350373031224,28952,0.11722925972028996,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_f88878f155e4838d,0.006287787182587666,28945,0.11700552423258727,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.006449235304956698,27135,0.10967106815389746,Review for general optimization potential,
content_545bb6cc7081ded3,0.002667581265957852,26241,0.1064614808848535,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.002342729856363776,26038,0.10567230480095677,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.006782983728680651,25505,0.10304849771789801,Review for general optimization potential,
content_012de75c008aa653,0.0,25191,0.1024749212857875,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_ba462518dad435fc,0.0001194695551750229,25111,0.10213728409525435,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.006948304613674263,25186,0.10174269605330599,Review for general optimization potential,
content_eadb33b5df496f4a,0.013663907481484416,25249,0.10130742883177532,Review for general optimization potential,
content_963de14b1f58978f,0.0020053202373644364,24435,0.09920024732941185,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.01361931169466645,24524,0.09840293540959866,Review for general optimization potential,
content_eadb33b5df496f4a,0.007249678942789676,24139,0.09748358595103852,Review for general optimization potential,
content_b902320872acab45,0.00025687130747495504,23358,0.09499402016060139,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_b902320872acab45,0.0002648538889379359,22654,0.09213020591800704,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_f88878f155e4838d,0.010588339535707958,22572,0.0908488117611644,Review for general optimization potential,
content_b902320872acab45,0.0003614022406938923,22136,0.09001488857972711,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_b902320872acab45,9.123255177447313e-05,21922,0.08916876164441516,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_545bb6cc7081ded3,0.0023911344093438176,21747,0.08825348010381326,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.007163790296320417,21497,0.08682157298251608,Review for general optimization potential,
content_963de14b1f58978f,0.0024082731265051708,21177,0.08593883478558004,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_963de14b1f58978f,0.0028825252811643513,21162,0.08583713683662426,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.006684620563624123,20794,0.0840228454272534,Review for general optimization potential,
content_eadb33b5df496f4a,0.005404874213836478,20352,0.08234279531050416,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_11bf4c33adea7bdc,0.0,20225,0.08227364070521424,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_cc26620b2cbb837f,0.001293274970155193,20104,0.08167565676535435,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_012de75c008aa653,0.0,19746,0.08032510800322179,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_b902320872acab45,0.0003048006096012192,19685,0.08005255750002033,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_012de75c008aa653,0.0,19588,0.07968237696582135,REVIEW_FOR_REFRESH,REFRESH_POTENTIAL_CTR_GAIN
content_eadb33b5df496f4a,0.0063940597122673125,19393,0.07838471113714578,Review for general optimization potential,
